Rank,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
3408,Eddie Park,CHW,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.20800000000000002,0.071,0.257,0.209,0.278,0.28,0.557,0.252,61,999.0
3409,Eduardo Lopez,PHI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.282,0.104,0.255,0.193,0.263,0.297,0.56,0.251,58,999.0
3410,Milkar Perez,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.29100000000000004,0.07,0.253,0.182,0.253,0.252,0.505,0.23,52,999.0
3411,Ricardo Hurtado,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.073,0.34700000000000003,0.05,0.191,0.127,0.204,0.177,0.381,0.18,12,999.0
3412,Kolten Wong,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.071,0.20199999999999999,0.118,0.277,0.232,0.298,0.35,0.649,0.287,84,999.0
3413,Mike Brosseau,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.073,0.27,0.142,0.27,0.217,0.285,0.359,0.643,0.284,84,999.0
3414,Nick Kahle,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.077,0.265,0.114,0.252,0.197,0.267,0.311,0.579,0.258,63,999.0
3415,William Simoneit,CHC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.07200000000000001,0.348,0.103,0.278,0.187,0.258,0.29,0.548,0.246,58,999.0
3416,Felix Stevens,CHC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.376,0.153,0.297,0.2,0.27,0.353,0.623,0.273,76,999.0
3417,David Leon,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.078,0.332,0.047,0.204,0.138,0.214,0.185,0.399,0.188,17,999.0
3418,Ramón Rodríguez,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.166,0.119,0.254,0.227,0.294,0.345,0.639,0.283,80,999.0
3419,Jack Brannigan,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.077,0.29,0.132,0.256,0.199,0.269,0.332,0.601,0.266,66,999.0
