Rank,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
4022,Collin Sullivan,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.53,5.63,1.16,1.35,0.27,1.69,0.298,0.6990000000000001,5.54,5.67,999.0
4023,Graham Hoffman,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.36,5.89,1.08,1.27,0.269,1.72,0.297,0.7020000000000001,5.46,5.68,999.0
4024,Connor Housley,CHW,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.79,5.93,1.14,1.49,0.267,1.71,0.294,0.7040000000000001,5.68,5.94,999.0
4025,Alfredo Ruiz,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.28,5.68,1.11,1.23,0.266,1.68,0.293,0.7120000000000001,5.21,5.59,999.0
4026,Brayhans Barreto,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.86,5.99,0.98,1.17,0.274,1.75,0.3,0.7070000000000001,5.36,5.69,999.0
4027,Cody Tucker,SFG,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.76,4.92,1.37,1.3,0.264,1.59,0.294,0.7,5.22,5.32,999.0
4028,Robbie Peto,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.14,4.7,1.31,1.5,0.272,1.61,0.292,0.6920000000000001,5.55,5.69,999.0
4029,Matt Merrill,DET,0,1,1.0,0,0,0,0,0,1,1,0,1,1,7.42,6.22,1.19,1.24,0.253,1.68,0.289,0.7090000000000001,5.28,5.55,999.0
4030,Easton Sikorski,CIN,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.84,5.38,1.09,1.55,0.282,1.73,0.301,0.6920000000000001,5.9,6.03,999.0
4031,Jake Christianson,TBR,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.15,4.6,1.34,1.43,0.274,1.6,0.297,0.698,5.38,5.54,999.0
4032,Tyler Bradt,STL,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.6,5.76,1.15,1.27,0.266,1.68,0.295,0.705,5.35,5.6,999.0
4033,Jonny Cuevas,TBR,0,1,1.0,0,0,0,0,0,1,1,0,1,0,5.78,4.28,1.35,1.46,0.277,1.58,0.296,0.6970000000000001,5.37,5.54,999.0
4034,Edgar Sanchez,ATH,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.75,5.33,1.08,1.18,0.273,1.67,0.298,0.7020000000000001,5.23,5.54,999.0
4035,Jesus Luna,LAD,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.76,5.96,1.13,1.4,0.267,1.71,0.295,0.706,5.55,5.82,999.0
4036,Hayden Nierman,BAL,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.28,5.58,1.13,1.25,0.273,1.7,0.301,0.703,5.38,5.59,999.0
4037,Geoffrey Gilbert,NYY,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.95,5.81,1.2,1.46,0.262,1.68,0.289,0.7170000000000001,5.4,5.8,999.0
4038,Chris Mokma,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.89,4.8,1.23,1.46,0.274,1.63,0.293,0.696,5.52,5.69,999.0
4039,Marlon Perez,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.91,5.19,1.33,1.53,0.26,1.6,0.284,0.711,5.37,5.69,999.0
4040,Angel Roman,WSN,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.32,5.44,0.98,1.27,0.275,1.69,0.293,0.703,5.38,5.79,999.0
4041,Joe Joe Rodriguez,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.2,5.68,1.09,1.27,0.273,1.71,0.3,0.696,5.53,5.69,999.0
4042,Alex Nolan,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.48,5.35,1.21,1.41,0.27,1.67,0.296,0.6970000000000001,5.56,5.7,999.0
4043,Teofilo Mendez,ARI,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.23,5.15,1.21,1.3,0.275,1.67,0.302,0.691,5.53,5.51,999.0
4044,Michael Kirian,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.35,5.61,1.13,1.34,0.268,1.69,0.294,0.7070000000000001,5.42,5.7,999.0
4045,William Silva,ATL,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.35,5.15,1.23,1.34,0.274,1.67,0.302,0.695,5.5,5.56,999.0
4046,Hunter Hayes,STL,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.54,4.69,1.18,1.36,0.276,1.62,0.294,0.698,5.38,5.61,999.0
4047,Zane Russell,ARI,0,1,1.0,0,0,0,0,0,1,1,0,1,1,7.13,5.99,1.19,1.25,0.265,1.71,0.301,0.6990000000000001,5.49,5.51,999.0
4048,Harold Melenge,SEA,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.08,4.68,1.3,1.33,0.266,1.57,0.288,0.7140000000000001,5.01,5.44,999.0
4049,Carter Baumler,BAL,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.26,4.93,1.27,1.41,0.274,1.64,0.298,0.698,5.45,5.6,999.0
4050,Jose Alcantara,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.43,5.96,1.08,1.27,0.269,1.72,0.298,0.701,5.5,5.7,999.0
4051,Ben Thompson,LAA,0,1,1.0,0,0,0,0,0,1,1,0,1,1,7.35,6.24,1.18,1.47,0.264,1.73,0.296,0.7040000000000001,5.7,5.88,999.0
4052,Jay Driver,CLE,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.86,5.73,1.2,1.29,0.267,1.69,0.299,0.7020000000000001,5.43,5.56,999.0
4053,Jake Gilbert,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.06,5.61,1.08,1.28,0.273,1.71,0.298,0.6970000000000001,5.51,5.71,999.0
4054,Matthew Bollenbacher,WSN,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.49,5.23,1.05,1.36,0.275,1.67,0.293,0.6970000000000001,5.52,5.8,999.0
4055,Nate Jones,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.7,5.16,1.1,1.35,0.279,1.69,0.3,0.693,5.59,5.71,999.0
4056,Miguel Gomez,WSN,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.39,4.56,1.18,1.5,0.276,1.61,0.29,0.693,5.54,5.8,999.0
4057,Jace Beck,NYM,0,1,1.0,0,0,0,0,0,1,1,0,1,1,7.6,6.34,1.2,1.3,0.254,1.7,0.291,0.7120000000000001,5.33,5.61,999.0
4058,Brannon Jordan,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.37,5.29,1.21,1.43,0.27,1.66,0.294,0.698,5.55,5.71,999.0
4059,Carson Carter,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.06,5.54,1.09,1.31,0.272,1.69,0.297,0.698,5.51,5.71,999.0
4060,Tanner Cooper,,0,1,1.0,0,0,0,0,0,1,1,0,1,0,5.34,4.21,1.27,1.53,0.281,1.6,0.295,0.69,5.59,5.71,999.0
4061,Jackson Lancaster,TBR,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.79,5.43,1.25,1.36,0.266,1.65,0.295,0.711,5.28,5.57,999.0
4062,Jake Eddington,PHI,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.09,6.13,0.99,1.32,0.272,1.75,0.297,0.698,5.65,5.92,999.0
4063,Tommy Kane,SFG,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.29,5.39,1.17,1.13,0.267,1.66,0.297,0.708,5.09,5.35,999.0
4064,Alberto Mota,TEX,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.92,6.43,1.08,1.29,0.267,1.76,0.3,0.7040000000000001,5.59,5.78,999.0
4065,Jordan DiValerio,,0,1,1.0,0,0,0,0,0,1,1,0,1,0,5.33,3.6,1.48,1.66,0.281,1.54,0.292,0.685,5.62,5.72,999.0
4066,Jack Owen,,0,1,1.0,0,0,0,0,0,1,1,0,1,0,4.83,4.07,1.19,1.38,0.282,1.59,0.294,0.7020000000000001,5.24,5.57,999.0
4067,Kade Mechals,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.11,4.83,1.27,1.49,0.275,1.64,0.296,0.691,5.64,5.72,999.0
4068,Zack Showalter,STL,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.83,6.09,1.12,1.23,0.262,1.7,0.295,0.706,5.33,5.63,999.0
4069,Gilberto Chu,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.18,5.44,1.14,1.37,0.27,1.68,0.293,0.705,5.44,5.72,999.0
4070,Niklas Rimmel,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.32,5.56,1.14,1.36,0.27,1.69,0.295,0.6990000000000001,5.54,5.72,999.0
4071,Serafino Brito,ATH,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.35,5.07,1.25,1.37,0.268,1.62,0.293,0.703,5.33,5.57,999.0
4072,Tyler Ras,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.84,5.29,1.1,1.36,0.277,1.69,0.299,0.695,5.59,5.72,999.0
4073,Ruben Ramirez,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.13,5.39,1.14,1.38,0.274,1.69,0.297,0.696,5.59,5.73,999.0
4074,Chase Antle,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.81,5.85,1.16,1.37,0.267,1.7,0.297,0.6990000000000001,5.59,5.73,999.0
4075,Juan Mercedes,MIN,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.34,5.38,1.18,1.39,0.272,1.68,0.298,0.6940000000000001,5.62,5.71,999.0
4076,Giomar Diaz,ATL,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.1,5.63,1.08,1.21,0.277,1.72,0.305,0.6970000000000001,5.49,5.59,999.0
4077,Josh Mollerus,TEX,0,1,1.0,0,0,0,0,0,1,1,0,1,1,7.45,5.94,1.25,1.5,0.261,1.69,0.292,0.7040000000000001,5.64,5.8,999.0
4078,Alan Mundo,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.56,5.67,1.16,1.37,0.268,1.69,0.295,0.6990000000000001,5.55,5.73,999.0
4079,Alex Garbrick,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.14,5.58,1.1,1.34,0.273,1.7,0.298,0.6970000000000001,5.58,5.73,999.0
4080,Wander Guante,ATH,0,1,1.0,0,0,0,0,0,1,1,0,1,0,5.5,4.02,1.37,1.48,0.276,1.55,0.292,0.693,5.36,5.58,999.0
4081,Jorge Minyety,ARI,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.04,5.52,1.09,1.19,0.278,1.72,0.306,0.69,5.55,5.55,999.0
4082,Trevor Holloway,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.84,5.23,1.12,1.37,0.276,1.68,0.298,0.6940000000000001,5.6,5.73,999.0
4083,Braden Carmichael,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.22,5.42,1.15,1.39,0.27,1.68,0.294,0.7040000000000001,5.49,5.74,999.0
4084,Daniel Blair,SFG,0,1,1.0,0,0,0,0,0,1,1,0,1,0,5.66,4.16,1.36,1.33,0.274,1.56,0.294,0.691,5.26,5.37,999.0
4085,Jared Poland,MIA,0,1,1.0,0,0,0,0,0,1,1,0,1,0,5.79,4.09,1.41,1.62,0.278,1.58,0.293,0.685,5.7,5.73,999.0
4086,Caleb Franzen,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,5.52,4.93,1.12,1.4,0.275,1.65,0.292,0.7020000000000001,5.44,5.74,999.0
4087,Jake Miller,CLE,0,1,1.0,0,0,0,0,0,1,1,0,1,0,5.88,4.41,1.33,1.48,0.277,1.6,0.297,0.691,5.52,5.59,999.0
4088,Evan Johnson,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.75,5.64,1.2,1.42,0.266,1.68,0.293,0.7,5.58,5.74,999.0
4089,Davis Schwab,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.37,6.12,1.04,1.27,0.268,1.74,0.296,0.7090000000000001,5.43,5.75,999.0
4090,Nick Sando,CIN,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.16,5.87,1.05,1.51,0.278,1.76,0.3,0.698,5.88,6.09,999.0
4091,Cooper Benson,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.8,5.92,1.15,1.35,0.262,1.69,0.291,0.708,5.42,5.75,999.0
4092,Destin Dotson,,0,1,1.0,0,0,0,0,0,1,1,0,1,1,6.85,6.36,1.08,1.27,0.262,1.73,0.294,0.7120000000000001,5.4,5.75,999.0
