Rank,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
2516,Grant Hartwig,NYM,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.82,3.87,2.02,1.1,0.25,1.4,0.293,0.7240000000000001,4.24,4.49,999.0
2517,Raffi Vizcaíno,,0,1,1.0,0,0,0,0,0,1,0,0,1,1,8.44,4.66,1.81,1.03,0.246,1.46,0.298,0.727,4.29,4.46,999.0
2518,Michael Feliz,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.98,3.35,2.38,1.27,0.252,1.36,0.293,0.72,4.38,4.46,999.0
2519,Trevor Lane,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.19,3.99,2.05,1.15,0.248,1.4,0.294,0.731,4.24,4.47,999.0
2520,Eric Adler,CHW,0,1,1.0,0,0,0,0,0,1,0,0,1,1,8.49,4.9,1.73,1.13,0.246,1.49,0.296,0.731,4.42,4.68,999.0
2521,Zac Houston,,0,1,1.0,0,0,0,0,0,1,0,0,1,1,9.11,4.51,2.02,1.11,0.238,1.41,0.293,0.725,4.29,4.47,999.0
2522,Ryan Miller,DET,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.37,3.1,2.38,1.22,0.253,1.34,0.289,0.7170000000000001,4.3,4.46,999.0
2523,Jorge Mercedes,MIA,0,1,1.0,0,0,0,0,0,1,0,0,1,1,8.96,4.53,1.98,1.14,0.243,1.44,0.297,0.7240000000000001,4.4,4.46,999.0
2524,Paul Gervase,TBR,0,1,1.0,0,0,0,0,0,1,0,0,1,1,9.7,4.62,2.1,1.15,0.233,1.4,0.293,0.736,4.2,4.36,999.0
2525,Kyle Cody,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.13,3.12,2.29,1.18,0.261,1.37,0.297,0.711,4.4,4.47,999.0
2526,Hector Perez,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.53,4.08,2.09,1.17,0.245,1.4,0.293,0.7240000000000001,4.33,4.48,999.0
2527,Sam Gardner,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.59,3.97,2.17,1.23,0.244,1.38,0.29,0.727,4.33,4.48,999.0
2528,Glenn Otto,HOU,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.46,3.64,2.32,1.24,0.248,1.36,0.294,0.716,4.41,4.46,999.0
2529,Anders Tolhurst,TOR,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.91,3.23,2.45,1.25,0.252,1.34,0.292,0.72,4.32,4.42,999.0
2530,Codi Heuer,TEX,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.77,3.4,2.29,1.27,0.256,1.38,0.296,0.7190000000000001,4.45,4.52,999.0
2531,Clayton Andrews,,0,1,1.0,0,0,0,0,0,1,0,0,1,1,8.7,4.52,1.92,1.04,0.243,1.44,0.297,0.737,4.12,4.38,999.0
2532,Stephen Woods Jr.,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.7,4.46,1.72,0.97,0.255,1.48,0.303,0.723,4.31,4.48,999.0
2533,Leonardo Pestana,NYY,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.46,3.83,2.21,1.28,0.247,1.39,0.292,0.728,4.37,4.56,999.0
2534,Sean Kealey,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.36,4.28,1.95,1.12,0.247,1.43,0.296,0.732,4.26,4.48,999.0
2535,Adonis Medina,SEA,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.3,3.33,2.19,1.0,0.253,1.35,0.294,0.727,3.97,4.27,999.0
2536,Tyler Samaniego,PIT,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.46,4.16,1.79,1.02,0.258,1.47,0.302,0.722,4.35,4.51,999.0
2537,Alex Phillips,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.32,3.9,2.13,1.21,0.249,1.4,0.295,0.722,4.4,4.48,999.0
2538,Beau Sulser,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,6.79,2.48,2.74,1.3,0.264,1.32,0.295,0.7120000000000001,4.39,4.48,999.0
2539,Geoff Hartlieb,NYY,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.63,3.42,2.23,1.19,0.255,1.38,0.295,0.727,4.24,4.47,999.0
2540,Zack Weiss,STL,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.15,3.66,2.23,1.18,0.248,1.36,0.292,0.726,4.24,4.41,999.0
2541,José Rodríguez,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,6.87,3.09,2.22,1.18,0.263,1.38,0.297,0.715,4.38,4.49,999.0
2542,Ryan Anderson,NYY,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.23,3.57,2.03,1.14,0.259,1.41,0.297,0.727,4.26,4.57,999.0
2543,Tyler Higgins,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.86,3.36,2.34,1.27,0.254,1.37,0.294,0.718,4.42,4.49,999.0
2544,Héctor Santiago,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.13,3.34,2.44,1.17,0.244,1.31,0.287,0.7390000000000001,3.97,4.28,999.0
2545,Noe Toribio,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.23,4.15,1.74,0.97,0.262,1.48,0.305,0.711,4.45,4.52,999.0
2546,Nigel Belgrave,MIA,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.04,4.36,1.84,1.04,0.253,1.46,0.302,0.7190000000000001,4.4,4.49,999.0
2547,Adam Laskey,MIA,0,1,1.0,0,0,0,0,0,1,0,0,1,0,6.34,3.54,1.79,0.97,0.27,1.46,0.306,0.7140000000000001,4.34,4.49,999.0
2548,Austin Schulfer,PHI,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.13,3.64,1.96,1.18,0.258,1.41,0.293,0.7170000000000001,4.42,4.67,999.0
2549,Kyle Backhus,ARI,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.73,4.03,1.92,0.97,0.256,1.44,0.304,0.722,4.23,4.35,999.0
2550,Reidis Sena,BOS,0,1,1.0,0,0,0,0,0,1,1,0,1,0,8.08,4.5,1.8,1.11,0.257,1.5,0.306,0.711,4.65,4.59,999.0
2551,Michael Stryffeler,SFG,0,1,1.0,0,0,0,0,0,1,0,0,1,0,9.1,4.1,2.22,1.07,0.239,1.38,0.295,0.728,4.14,4.18,999.0
2552,Phillips Valdez,,0,1,1.0,0,0,0,0,0,1,1,0,1,0,6.57,3.75,1.75,0.99,0.273,1.49,0.311,0.6970000000000001,4.63,4.59,999.0
2553,Phil Bickford,CHC,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.5,3.38,2.52,1.32,0.245,1.32,0.289,0.7190000000000001,4.39,4.45,999.0
2554,Ryan Weber,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,5.8,2.24,2.59,1.21,0.277,1.36,0.302,0.706,4.44,4.5,999.0
2555,PJ Poulin,DET,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.43,3.76,1.98,1.02,0.25,1.39,0.291,0.731,4.06,4.38,999.0
2556,Rex Brothers,,0,1,1.0,0,0,0,0,0,1,0,0,1,1,9.53,4.61,2.07,1.22,0.236,1.41,0.291,0.735,4.33,4.5,999.0
2557,Hayden Juenger,TOR,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.01,3.32,2.41,1.25,0.25,1.34,0.291,0.721,4.32,4.45,999.0
2558,Elieser Hernández,,0,1,1.0,0,0,0,0,0,1,1,0,1,0,8.17,2.72,3.01,1.61,0.252,1.29,0.285,0.723,4.58,4.7,999.0
2559,Wil Crowe,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.99,3.66,2.18,1.22,0.254,1.4,0.298,0.723,4.39,4.51,999.0
2560,Darrell Thompson,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.34,3.99,2.09,1.19,0.247,1.4,0.293,0.73,4.29,4.51,999.0
2561,Domingo Tapia,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.73,4.23,1.83,1.05,0.254,1.45,0.3,0.721,4.36,4.51,999.0
2562,Will Harris,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.35,3.06,2.4,1.27,0.26,1.36,0.296,0.7140000000000001,4.45,4.51,999.0
2563,Endrys Briceno,LAA,0,1,1.0,0,0,0,0,0,1,1,0,1,0,8.26,3.74,2.2,1.34,0.253,1.4,0.295,0.72,4.55,4.65,999.0
2564,Jake Miller,DET,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.22,3.1,2.33,1.15,0.253,1.34,0.289,0.725,4.14,4.39,999.0
2565,Carl Edwards Jr.,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.7,4.0,1.93,1.12,0.254,1.43,0.296,0.722,4.37,4.51,999.0
2566,Mark Washington,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.37,3.66,2.01,1.13,0.258,1.42,0.298,0.716,4.39,4.51,999.0
2567,Tyler Schoff,WSN,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.24,3.62,2.0,1.18,0.257,1.4,0.294,0.718,4.4,4.6,999.0
2568,Colton Hock,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.16,3.17,2.26,1.22,0.261,1.38,0.297,0.7140000000000001,4.43,4.51,999.0
2569,Luke Summers,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.81,3.85,2.03,1.16,0.255,1.42,0.298,0.718,4.43,4.51,999.0
2570,Cameron Cotter,SFG,0,1,1.0,0,0,0,0,0,1,0,0,1,0,6.87,2.95,2.33,1.01,0.261,1.36,0.3,0.715,4.12,4.2,999.0
2571,Tyler Duffey,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.88,3.69,2.13,1.22,0.254,1.4,0.296,0.72,4.43,4.53,999.0
2572,Tyler Chatwood,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.79,4.17,1.87,1.06,0.255,1.46,0.301,0.72,4.38,4.51,999.0
2573,Alberto Baldonado,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.53,3.84,2.22,1.28,0.243,1.37,0.287,0.735,4.28,4.51,999.0
2574,Nick Vespi,PHI,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.38,3.71,1.99,1.17,0.255,1.4,0.293,0.7290000000000001,4.27,4.58,999.0
2575,Fernando Abad,,0,1,1.0,0,0,0,0,0,1,1,0,1,0,6.51,2.97,2.19,1.36,0.281,1.46,0.311,0.698,4.95,4.79,999.0
2576,Erasmo Ramírez,MIN,0,1,1.0,0,0,0,0,0,1,1,0,1,0,7.15,2.67,2.68,1.31,0.266,1.35,0.3,0.708,4.53,4.49,999.0
2577,Ty Adcock,NYM,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.28,3.27,2.53,1.24,0.248,1.33,0.291,0.727,4.2,4.33,999.0
2578,Travis MacGregor,TEX,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.02,3.45,2.04,1.12,0.264,1.42,0.301,0.71,4.45,4.56,999.0
2579,Ljay Newsome,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.53,3.06,2.46,1.3,0.259,1.36,0.296,0.7140000000000001,4.47,4.52,999.0
2580,Blair Calvo,DET,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.62,3.9,1.96,1.01,0.252,1.41,0.296,0.7190000000000001,4.23,4.4,999.0
2581,Anderson Severino,,0,1,1.0,0,0,0,0,0,1,0,0,1,1,9.05,5.34,1.7,1.14,0.24,1.51,0.294,0.741,4.37,4.73,999.0
2582,Jackson Rose,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.85,3.25,2.41,1.3,0.255,1.36,0.294,0.715,4.49,4.51,999.0
2583,Jesús Liranzo,MIL,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.42,3.86,2.18,1.26,0.247,1.39,0.292,0.725,4.4,4.54,999.0
2584,Yefry Ramírez,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.19,3.1,2.32,1.23,0.26,1.37,0.295,0.7140000000000001,4.41,4.52,999.0
2585,Chase Costello,MIL,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.58,3.75,2.02,1.16,0.257,1.42,0.298,0.72,4.39,4.54,999.0
2586,Carson Skipper,COL,0,1,1.0,0,0,0,0,0,1,1,0,1,0,7.5,3.48,2.16,1.39,0.266,1.44,0.302,0.711,4.8,4.8,999.0
2587,Trevor Brigden,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.37,3.32,2.52,1.37,0.246,1.33,0.287,0.7240000000000001,4.41,4.52,999.0
2588,John Gavin,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.56,3.71,2.31,1.1,0.242,1.35,0.291,0.7340000000000001,4.04,4.21,999.0
2589,Sean Rackoski,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.44,3.66,2.03,1.15,0.259,1.42,0.3,0.715,4.44,4.52,999.0
2590,Nicholas Padilla,PHI,0,1,1.0,0,0,0,0,0,1,0,0,1,1,7.85,4.66,1.69,1.08,0.25,1.48,0.295,0.7240000000000001,4.4,4.7,999.0
2591,Tommy Hunter,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.1,2.81,2.52,1.29,0.263,1.35,0.296,0.711,4.48,4.52,999.0
2592,Enmanuel De Jesus,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.4,3.57,2.07,1.14,0.254,1.38,0.293,0.725,4.24,4.52,999.0
2593,Sammy Peralta,CHW,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.08,3.54,2.0,1.22,0.261,1.42,0.296,0.727,4.38,4.67,999.0
2594,Hyeon-Jong Yang,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,6.76,2.54,2.67,1.33,0.266,1.34,0.296,0.716,4.43,4.53,999.0
2595,Dylan King,,0,1,1.0,0,0,0,0,0,1,1,0,1,0,8.44,3.89,2.17,1.35,0.251,1.41,0.294,0.722,4.56,4.67,999.0
2596,Thomas Jankins,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.08,3.34,2.42,1.33,0.254,1.37,0.295,0.7170000000000001,4.49,4.55,999.0
2597,Joe La Sorsa,CIN,0,1,1.0,0,0,0,0,0,1,1,0,1,0,6.63,2.64,2.51,1.45,0.271,1.38,0.298,0.713,4.67,4.83,999.0
2598,Jason Blanchard,SDP,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.85,3.93,2.0,1.19,0.249,1.4,0.29,0.736,4.22,4.57,999.0
2599,Isaac Mattson,PIT,0,1,1.0,0,0,0,0,0,1,1,0,1,1,8.3,4.71,1.76,1.19,0.247,1.48,0.292,0.718,4.62,4.75,999.0
2600,Reymin Guduan,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.62,3.54,2.15,1.21,0.256,1.4,0.296,0.723,4.38,4.53,999.0
2601,Luke Bard,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.69,3.29,2.34,1.25,0.254,1.36,0.292,0.7120000000000001,4.44,4.53,999.0
2602,CJ Weins,DET,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.44,4.18,2.02,1.11,0.243,1.4,0.291,0.726,4.25,4.41,999.0
2603,Argenis Angulo,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.55,4.11,2.08,1.21,0.249,1.42,0.297,0.72,4.49,4.51,999.0
2604,Andrés Núñez,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,6.88,3.45,1.99,1.09,0.262,1.41,0.299,0.7120000000000001,4.38,4.53,999.0
2605,Tristan Garnett,PHI,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.89,4.42,1.79,1.17,0.248,1.45,0.29,0.733,4.34,4.71,999.0
2606,Jordi Martinez,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.4,3.71,1.99,1.14,0.257,1.42,0.296,0.726,4.31,4.53,999.0
2607,Andre Jackson,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.24,4.0,2.06,1.22,0.248,1.41,0.292,0.723,4.4,4.53,999.0
2608,Ryan Hendrix,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.22,4.33,1.9,1.12,0.25,1.45,0.298,0.722,4.41,4.53,999.0
2609,Geronimo Franzua,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.36,3.97,2.11,1.22,0.246,1.39,0.291,0.73,4.32,4.53,999.0
2610,Brandon Waddell,NYM,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.89,3.82,2.07,1.12,0.249,1.39,0.292,0.733,4.15,4.44,999.0
2611,Ricky Vanasco,DET,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.29,4.16,2.0,1.03,0.242,1.39,0.291,0.7290000000000001,4.11,4.32,999.0
2612,Junior Garcia,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.75,3.82,2.03,1.18,0.254,1.41,0.295,0.727,4.34,4.54,999.0
2613,Kent Hasler,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.3,3.78,2.2,1.28,0.249,1.39,0.292,0.725,4.42,4.56,999.0
2614,Andres Sotillet,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.4,3.57,2.08,1.18,0.26,1.41,0.299,0.715,4.46,4.54,999.0
2615,Marshall Kasowski,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.51,4.48,1.9,1.14,0.246,1.44,0.295,0.726,4.39,4.54,999.0
2616,Kai-Wei Teng,SFG,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.82,3.6,2.17,1.06,0.25,1.37,0.294,0.7140000000000001,4.25,4.39,999.0
2617,Jose Fermin,LAA,0,1,1.0,0,0,0,0,0,1,1,0,1,0,8.64,4.18,2.07,1.33,0.248,1.42,0.294,0.725,4.55,4.68,999.0
2618,Nolan Clenney,CHC,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.61,3.26,2.33,1.21,0.255,1.36,0.295,0.718,4.33,4.44,999.0
2619,Jesse Biddle,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.13,4.4,1.85,1.08,0.25,1.46,0.298,0.728,4.33,4.54,999.0
2620,Joe Harvey,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.09,3.71,2.18,1.24,0.251,1.39,0.294,0.7170000000000001,4.47,4.54,999.0
2621,Darien Núñez,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.81,4.1,2.15,1.35,0.246,1.4,0.292,0.735,4.43,4.65,999.0
2622,Noel Vela,SDP,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.11,4.43,1.83,1.13,0.246,1.43,0.291,0.738,4.21,4.59,999.0
2623,Austin Roberts,MIA,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.75,3.87,2.0,1.14,0.255,1.42,0.298,0.716,4.44,4.53,999.0
2624,Adrián Martínez,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.15,3.01,2.38,1.26,0.263,1.37,0.299,0.71,4.49,4.54,999.0
2625,Nelson L. Alvarez,PHI,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.97,4.45,1.79,1.18,0.248,1.45,0.291,0.725,4.44,4.72,999.0
2626,Keylan Killgore,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.05,4.26,1.89,1.11,0.249,1.43,0.294,0.731,4.27,4.54,999.0
2627,Andrew Politi,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.62,3.4,2.24,1.23,0.254,1.37,0.293,0.716,4.41,4.55,999.0
2628,Collin Baumgartner,COL,0,1,1.0,0,0,0,0,0,1,1,0,1,0,8.0,4.01,2.0,1.36,0.265,1.49,0.309,0.701,5.01,4.83,999.0
2629,Hayden Seig,LAA,0,1,1.0,0,0,0,0,0,1,1,0,1,0,6.48,3.32,1.95,1.19,0.272,1.45,0.304,0.7090000000000001,4.59,4.69,999.0
2630,Melvin Adón,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.73,4.43,1.74,1.02,0.255,1.48,0.302,0.72,4.4,4.55,999.0
2631,Trevor Bettencourt,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.02,3.43,2.05,1.16,0.263,1.42,0.299,0.713,4.46,4.55,999.0
2632,Wyatt Mills,BOS,0,1,1.0,0,0,0,0,0,1,1,0,1,0,7.25,3.83,1.89,1.15,0.265,1.46,0.305,0.703,4.69,4.64,999.0
2633,Joe Zanghi,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.24,4.08,2.02,1.19,0.248,1.41,0.293,0.723,4.41,4.55,999.0
2634,Jacob Bosiokovic,MIN,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.13,4.07,2.0,1.17,0.253,1.44,0.298,0.718,4.48,4.53,999.0
2635,Connor Curlis,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.9,3.04,2.6,1.36,0.249,1.31,0.285,0.728,4.31,4.55,999.0
2636,Skylar Hales,TEX,0,1,1.0,0,0,0,0,0,1,1,0,1,0,8.15,3.6,2.27,1.33,0.253,1.39,0.294,0.72,4.52,4.6,999.0
2637,Anthony Vizcaya,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.45,3.43,2.17,1.22,0.258,1.39,0.296,0.715,4.46,4.55,999.0
2638,Jaden Woods,PIT,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.79,4.23,1.84,1.1,0.252,1.45,0.296,0.7240000000000001,4.38,4.58,999.0
2639,Logan Sawyer,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.53,3.51,2.15,1.22,0.257,1.4,0.296,0.716,4.47,4.55,999.0
2640,Jensen Elliott,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,6.23,3.21,1.94,1.09,0.271,1.43,0.302,0.7090000000000001,4.44,4.55,999.0
2641,Justin Storm,MIA,0,1,1.0,0,0,0,0,0,1,0,0,1,1,8.49,4.7,1.81,1.08,0.246,1.47,0.297,0.73,4.34,4.55,999.0
2642,Wesley Moore,PHI,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.95,4.29,1.85,1.2,0.249,1.44,0.29,0.73,4.39,4.73,999.0
2643,Sam Coonrod,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.67,3.9,1.97,1.12,0.256,1.43,0.299,0.715,4.44,4.55,999.0
2644,Michael Flynn,TBR,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.57,3.56,2.4,1.23,0.248,1.35,0.295,0.7190000000000001,4.34,4.44,999.0
2645,Luke Murphy,LAA,0,1,1.0,0,0,0,0,0,1,1,0,1,0,7.9,3.87,2.04,1.28,0.254,1.42,0.295,0.72,4.53,4.7,999.0
2646,Josh Dye,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,6.63,3.05,2.17,1.19,0.265,1.39,0.297,0.7170000000000001,4.38,4.56,999.0
2647,Sean McLaughlin,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.46,3.29,2.27,1.24,0.259,1.38,0.297,0.711,4.49,4.56,999.0
2648,Daulton Jefferies,PIT,0,1,1.0,0,0,0,0,0,1,1,0,1,0,6.78,2.81,2.41,1.24,0.268,1.38,0.301,0.7020000000000001,4.58,4.53,999.0
2649,J.P. Feyereisen,,0,1,1.0,0,0,0,0,0,1,1,0,1,0,7.19,3.29,2.18,1.35,0.257,1.38,0.288,0.716,4.57,4.72,999.0
2650,James Bourque,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.44,4.37,1.93,1.16,0.248,1.45,0.297,0.722,4.46,4.56,999.0
2651,Dugan Darnell,COL,0,1,1.0,0,0,0,0,0,1,1,0,1,0,7.68,3.91,1.97,1.36,0.27,1.5,0.31,0.698,5.06,4.85,999.0
2652,Joe Corbett,,0,1,1.0,0,0,0,0,0,1,1,0,1,0,7.93,3.51,2.26,1.32,0.256,1.4,0.297,0.7170000000000001,4.57,4.61,999.0
2653,Jack Leftwich,CLE,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.61,3.0,2.54,1.28,0.257,1.35,0.295,0.716,4.39,4.44,999.0
2654,Cameron Bishop,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.1,3.96,2.05,1.15,0.252,1.42,0.298,0.731,4.26,4.48,999.0
2655,Mark Appel,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.24,3.49,2.07,1.17,0.261,1.42,0.299,0.7120000000000001,4.49,4.57,999.0
2656,Scott Boches,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.16,3.39,2.41,1.21,0.246,1.33,0.289,0.73,4.14,4.35,999.0
2657,Adrian Houser,TEX,0,1,1.0,0,0,0,0,0,1,1,0,1,0,6.55,3.15,2.08,1.16,0.271,1.43,0.304,0.706,4.55,4.56,999.0
2658,Trevor Clifton,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.88,3.85,2.05,1.19,0.255,1.42,0.298,0.716,4.5,4.57,999.0
2659,Derek Craft,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.06,3.93,2.05,1.21,0.253,1.42,0.297,0.718,4.5,4.57,999.0
2660,Garrett Williams,,0,1,1.0,0,0,0,0,0,1,0,0,1,1,8.48,4.79,1.77,1.04,0.245,1.47,0.296,0.731,4.28,4.57,999.0
2661,Tyler Pike,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.71,4.0,1.93,1.13,0.254,1.44,0.297,0.725,4.36,4.57,999.0
2662,Adam Kolarek,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,6.59,4.01,1.64,0.94,0.266,1.49,0.304,0.7190000000000001,4.33,4.57,999.0
2663,Zak Kent,CLE,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.61,3.35,2.27,1.19,0.258,1.39,0.299,0.713,4.41,4.44,999.0
2664,Anderson Espinoza,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.65,3.65,2.1,1.19,0.254,1.39,0.294,0.7170000000000001,4.41,4.57,999.0
2665,Peter Solomon,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.41,3.45,2.15,1.24,0.257,1.39,0.294,0.7170000000000001,4.45,4.57,999.0
2666,Julian Fernández,LAD,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.37,3.78,2.21,1.36,0.248,1.38,0.29,0.725,4.5,4.68,999.0
2667,Ricardo Velez,MIN,0,1,1.0,0,0,0,0,0,1,1,0,1,0,7.8,3.83,2.03,1.18,0.256,1.43,0.299,0.7140000000000001,4.51,4.55,999.0
2668,Cory Abbott,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.39,3.45,2.43,1.38,0.248,1.35,0.289,0.722,4.47,4.58,999.0
2669,Eric Hanhold,,0,1,1.0,0,0,0,0,0,1,0,0,1,0,7.28,4.01,1.82,1.07,0.26,1.46,0.301,0.7140000000000001,4.47,4.58,999.0
2670,Bubby Rossman,,0,1,1.0,0,0,0,0,0,1,1,0,1,0,8.23,4.12,2.0,1.33,0.247,1.41,0.288,0.7240000000000001,4.53,4.75,999.0
2671,Tanner Andrews,SFG,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.09,3.78,2.14,1.05,0.248,1.38,0.295,0.7240000000000001,4.15,4.26,999.0
2672,Gerardo Reyes,,0,1,1.0,0,0,0,0,0,1,1,0,1,0,8.71,4.34,2.01,1.35,0.242,1.42,0.286,0.722,4.62,4.78,999.0
2673,Ryan Bourassa,ATL,0,1,1.0,0,0,0,0,0,1,0,0,1,0,8.83,4.21,2.1,1.2,0.247,1.42,0.298,0.723,4.44,4.46,999.0
2674,Anderson Paulino,KCR,0,1,1.0,0,0,0,0,0,1,1,0,1,0,6.1,3.71,1.64,0.98,0.275,1.5,0.308,0.701,4.6,4.62,999.0
